Week_Start_Date,Product_ID,Product_Name,Units_Sold,Price,Discount_Percentage,Revenue,Region,Avg_Gas_Price_US,CPI,Units_Sold_z
2024-01-07,P001,Product_1,434,61.0,30,18531.8,USA,,309.794,0.5741992653634934
2024-01-07,P002,Product_2,70,24.0,15,1428.0,USA,,309.794,0.37818586883045796
2024-01-07,P003,Product_3,301,81.0,0,24381.0,USA,,309.794,-0.12148547473432812
2024-01-07,P004,Product_4,325,70.0,0,22750.0,USA,,309.794,-0.041280781751511314
2024-01-07,P005,Product_5,409,30.0,0,12270.0,USA,,309.794,-0.08551877812706765
2024-01-07,P006,Product_6,105,92.0,0,9660.0,USA,,309.794,-0.11337286680109766
2024-01-07,P007,Product_7,461,96.0,5,42043.2,USA,,309.794,0.04547437965832568
2024-01-07,P008,Product_8,403,84.0,0,33852.0,USA,,309.794,-0.03579424538145844
2024-01-07,P009,Product_9,146,84.0,0,12264.0,USA,,309.794,-0.041973546153054736
2024-01-07,P010,Product_10,431,97.0,0,41807.0,USA,,309.794,-0.09109218427702698
2024-01-07,P011,Product_11,510,33.0,0,16830.0,USA,,309.794,-0.034842373879142984
2024-01-07,P012,Product_12,543,12.0,20,5212.8,USA,,309.794,0.30759213882330194
2024-01-07,P013,Product_13,356,31.0,20,8828.8,USA,,309.794,0.28331962498139884
2024-01-07,P014,Product_14,534,62.0,15,28141.8,USA,,309.794,0.2212065178219121
2024-01-07,P015,Product_15,100,11.0,30,770.0,USA,,309.794,0.6330592585996034
2024-01-07,P016,Product_16,284,97.0,15,23415.8,USA,,309.794,0.26426285335976685
2024-01-07,P017,Product_17,154,39.0,30,4204.2,USA,,309.794,0.6111890171263926
2024-01-07,P018,Product_18,546,47.0,25,19246.5,USA,,309.794,0.49751532954045535
2024-01-07,P019,Product_19,105,11.0,5,1097.25,USA,,309.794,0.07890524946507303
2024-01-07,P020,Product_20,423,73.0,0,30879.0,USA,,309.794,-0.13329626534238923
2024-01-07,P021,Product_21,452,69.0,0,31188.0,USA,,309.794,-0.11388798035130378
2024-01-07,P022,Product_22,56,30.0,15,1428.0,USA,,309.794,0.2123429397487459
2024-01-07,P023,Product_23,488,42.0,15,17421.6,USA,,309.794,0.27592649921375145
2024-01-07,P024,Product_24,112,85.0,10,8568.0,USA,,309.794,0.15368679062873444
2024-01-07,P025,Product_25,160,67.0,0,10720.0,USA,,309.794,-0.10289549319207388
2024-01-07,P026,Product_26,336,31.0,10,9374.4,USA,,309.794,0.1832045235765705
2024-01-07,P027,Product_27,371,98.0,0,36358.0,USA,,309.794,-0.09225744083834658
2024-01-07,P028,Product_28,285,58.0,30,11571.0,USA,,309.794,0.5659446670396145
2024-01-07,P029,Product_29,525,100.0,25,39375.0,USA,,309.794,0.5152710409026494
2024-01-07,P030,Product_30,304,68.0,20,16537.6,USA,,309.794,0.33479159849019685
2024-01-07,P031,Product_31,96,51.0,0,4896.0,USA,,309.794,-0.05740651478247738
2024-01-07,P032,Product_32,218,69.0,0,15042.0,USA,,309.794,-0.07916749335765293
2024-01-07,P033,Product_33,260,89.0,0,23140.0,USA,,309.794,-0.11536139397230734
2024-01-07,P034,Product_34,564,24.0,20,10828.8,USA,,309.794,0.3671546214433458
2024-01-07,P035,Product_35,330,71.0,0,23430.0,USA,,309.794,-0.07330194860392186
2024-01-07,P036,Product_36,424,71.0,5,28598.8,USA,,309.794,0.021922570129659737
2024-01-07,P037,Product_37,365,56.0,0,20440.0,USA,,309.794,-0.05313468246965566
2024-01-07,P038,Product_38,373,71.0,25,19862.25,USA,,309.794,0.5664898386281321
2024-01-07,P039,Product_39,280,60.0,5,15960.0,USA,,309.794,0.07445615052035176
2024-01-07,P040,Product_40,327,64.0,10,18835.2,USA,,309.794,0.09114494430684084
2024-01-07,P041,Product_41,266,73.0,15,16505.3,USA,,309.794,0.31417080165063965
2024-01-07,P042,Product_42,357,12.0,0,4284.0,USA,,309.794,-0.051095945689887325
2024-01-07,P043,Product_43,291,60.0,15,14841.0,USA,,309.794,0.2361004091681266
2024-01-07,P044,Product_44,279,16.0,10,4017.6,USA,,309.794,0.12326641323483932
2024-01-07,P045,Product_45,296,30.0,0,8880.0,USA,,309.794,-0.12702658657299987
2024-01-07,P046,Product_46,461,82.0,30,26461.4,USA,,309.794,0.5216817279648439
2024-01-07,P047,Product_47,452,48.0,10,19526.4,USA,,309.794,0.1362972147717451
2024-01-07,P048,Product_48,113,27.0,15,2593.35,USA,,309.794,0.24761860749676423
2024-01-07,P049,Product_49,383,13.0,25,3734.25,USA,,309.794,0.47927630496016416
2024-01-07,P050,Product_50,511,98.0,15,42566.3,USA,,309.794,0.22651565079837502
2024-01-14,P001,Product_1,391,61.0,0,23851.0,USA,3.073,309.794,0.06490536250395942
2024-01-14,P002,Product_2,67,24.0,0,1608.0,USA,3.073,309.794,0.15036305628198948
2024-01-14,P003,Product_3,319,81.0,5,24547.05,USA,3.073,309.794,0.1339746356883244
2024-01-14,P004,Product_4,336,70.0,0,23520.0,USA,3.073,309.794,0.11422901251787977
2024-01-14,P005,Product_5,433,30.0,5,12340.5,USA,3.073,309.794,0.17494450550867152
2024-01-14,P006,Product_6,122,92.0,25,8418.0,USA,3.073,309.794,0.6111905676420086
2024-01-14,P007,Product_7,466,96.0,0,44736.0,USA,3.073,309.794,0.09364639200824668
