Week_Start_Date,Product_ID,Product_Name,Units_Sold,Price,Discount_Percentage,Revenue,Region
2024-01-07,P001,Product_1,434,61,30,18531.8,USA
2024-01-07,P002,Product_2,70,24,15,1428.0,USA
2024-01-07,P003,Product_3,301,81,0,24381.0,USA
2024-01-07,P004,Product_4,325,70,0,22750.0,USA
2024-01-07,P005,Product_5,409,30,0,12270.0,USA
2024-01-07,P006,Product_6,105,92,0,9660.0,USA
2024-01-07,P007,Product_7,461,96,5,42043.2,USA
2024-01-07,P008,Product_8,403,84,0,33852.0,USA
2024-01-07,P009,Product_9,146,84,0,12264.0,USA
2024-01-07,P010,Product_10,431,97,0,41807.0,USA
2024-01-07,P011,Product_11,510,33,0,16830.0,USA
2024-01-07,P012,Product_12,543,12,20,5212.8,USA
2024-01-07,P013,Product_13,356,31,20,8828.8,USA
2024-01-07,P014,Product_14,534,62,15,28141.8,USA
2024-01-07,P015,Product_15,100,11,30,770.0,USA
2024-01-07,P016,Product_16,284,97,15,23415.8,USA
2024-01-07,P017,Product_17,154,39,30,4204.2,USA
2024-01-07,P018,Product_18,546,47,25,19246.5,USA
2024-01-07,P019,Product_19,105,11,5,1097.25,USA
2024-01-07,P020,Product_20,423,73,0,30879.0,USA
2024-01-07,P021,Product_21,452,69,0,31188.0,USA
2024-01-07,P022,Product_22,56,30,15,1428.0,USA
2024-01-07,P023,Product_23,488,42,15,17421.6,USA
2024-01-07,P024,Product_24,112,85,10,8568.0,USA
2024-01-07,P025,Product_25,160,67,0,10720.0,USA
2024-01-07,P026,Product_26,336,31,10,9374.4,USA
2024-01-07,P027,Product_27,371,98,0,36358.0,USA
2024-01-07,P028,Product_28,285,58,30,11571.0,USA
2024-01-07,P029,Product_29,525,100,25,39375.0,USA
2024-01-07,P030,Product_30,304,68,20,16537.6,USA
2024-01-07,P031,Product_31,96,51,0,4896.0,USA
2024-01-07,P032,Product_32,218,69,0,15042.0,USA
2024-01-07,P033,Product_33,260,89,0,23140.0,USA
2024-01-07,P034,Product_34,564,24,20,10828.8,USA
2024-01-07,P035,Product_35,330,71,0,23430.0,USA
2024-01-07,P036,Product_36,424,71,5,28598.8,USA
2024-01-07,P037,Product_37,365,56,0,20440.0,USA
2024-01-07,P038,Product_38,373,71,25,19862.25,USA
2024-01-07,P039,Product_39,280,60,5,15960.0,USA
2024-01-07,P040,Product_40,327,64,10,18835.2,USA
2024-01-07,P041,Product_41,266,73,15,16505.3,USA
2024-01-07,P042,Product_42,357,12,0,4284.0,USA
2024-01-07,P043,Product_43,291,60,15,14841.0,USA
2024-01-07,P044,Product_44,279,16,10,4017.6,USA
2024-01-07,P045,Product_45,296,30,0,8880.0,USA
2024-01-07,P046,Product_46,461,82,30,26461.4,USA
2024-01-07,P047,Product_47,452,48,10,19526.4,USA
2024-01-07,P048,Product_48,113,27,15,2593.35,USA
2024-01-07,P049,Product_49,383,13,25,3734.25,USA
2024-01-07,P050,Product_50,511,98,15,42566.3,USA
2024-01-14,P001,Product_1,391,61,0,23851.0,USA
2024-01-14,P002,Product_2,67,24,0,1608.0,USA
2024-01-14,P003,Product_3,319,81,5,24547.05,USA
2024-01-14,P004,Product_4,336,70,0,23520.0,USA
2024-01-14,P005,Product_5,433,30,5,12340.5,USA
2024-01-14,P006,Product_6,122,92,25,8418.0,USA
2024-01-14,P007,Product_7,466,96,0,44736.0,USA
2024-01-14,P008,Product_8,416,84,0,34944.0,USA
2024-01-14,P009,Product_9,151,84,0,12684.0,USA
2024-01-14,P010,Product_10,512,97,30,34764.8,USA
2024-01-14,P011,Product_11,528,33,0,17424.0,USA
2024-01-14,P012,Product_12,549,12,15,5599.8,USA
2024-01-14,P013,Product_13,335,31,0,10385.0,USA
2024-01-14,P014,Product_14,514,62,0,31868.0,USA
2024-01-14,P015,Product_15,90,11,0,990.0,USA
2024-01-14,P016,Product_16,273,97,0,26481.0,USA
2024-01-14,P017,Product_17,146,39,10,5124.6,USA
2024-01-14,P018,Product_18,515,47,5,22994.75,USA
2024-01-14,P019,Product_19,114,11,15,1065.9,USA
2024-01-14,P020,Product_20,438,73,0,31974.0,USA
2024-01-14,P021,Product_21,468,69,0,32292.0,USA
2024-01-14,P022,Product_22,54,30,0,1620.0,USA
2024-01-14,P023,Product_23,470,42,0,19740.0,USA
2024-01-14,P024,Product_24,115,85,10,8797.5,USA
2024-01-14,P025,Product_25,170,67,5,10820.5,USA
2024-01-14,P026,Product_26,331,31,0,10261.0,USA
2024-01-14,P027,Product_27,384,98,0,37632.0,USA
2024-01-14,P028,Product_28,257,58,0,14906.0,USA
2024-01-14,P029,Product_29,519,100,15,44115.0,USA
2024-01-14,P030,Product_30,314,68,20,17081.6,USA
2024-01-14,P031,Product_31,99,51,0,5049.0,USA
2024-01-14,P032,Product_32,260,69,30,12558.0,USA
2024-01-14,P033,Product_33,269,89,0,23941.0,USA
2024-01-14,P034,Product_34,610,24,30,10248.0,USA
2024-01-14,P035,Product_35,350,71,5,23607.5,USA
2024-01-14,P036,Product_36,428,71,0,30388.0,USA
2024-01-14,P037,Product_37,378,56,0,21168.0,USA
2024-01-14,P038,Product_38,368,71,15,22208.8,USA
2024-01-14,P039,Product_39,304,60,15,15504.0,USA
2024-01-14,P040,Product_40,338,64,10,19468.8,USA
2024-01-14,P041,Product_41,262,73,5,18169.7,USA
2024-01-14,P042,Product_42,388,12,10,4190.4,USA
2024-01-14,P043,Product_43,294,60,10,15876.0,USA
2024-01-14,P044,Product_44,275,16,0,4400.0,USA
2024-01-14,P045,Product_45,306,30,0,9180.0,USA
2024-01-14,P046,Product_46,414,82,0,33948.0,USA
2024-01-14,P047,Product_47,501,48,25,18036.0,USA
2024-01-14,P048,Product_48,112,27,5,2872.8,USA
2024-01-14,P049,Product_49,405,13,30,3685.5,USA
2024-01-14,P050,Product_50,491,98,0,48118.0,USA
2024-01-21,P001,Product_1,454,61,25,20770.5,USA
2024-01-21,P002,Product_2,76,24,20,1459.2,USA
2024-01-21,P003,Product_3,321,81,0,26001.0,USA
2024-01-21,P004,Product_4,364,70,10,22932.0,USA
2024-01-21,P005,Product_5,469,30,15,11959.5,USA
2024-01-21,P006,Product_6,126,92,25,8694.0,USA
2024-01-21,P007,Product_7,481,96,0,46176.0,USA
2024-01-21,P008,Product_8,430,84,0,36120.0,USA
2024-01-21,P009,Product_9,171,84,20,11491.2,USA
2024-01-21,P010,Product_10,517,97,25,37611.75,USA
2024-01-21,P011,Product_11,545,33,0,17985.0,USA
2024-01-21,P012,Product_12,527,12,0,6324.0,USA
2024-01-21,P013,Product_13,398,31,30,8636.6,USA
2024-01-21,P014,Product_14,531,62,0,32922.0,USA
2024-01-21,P015,Product_15,97,11,10,960.3,USA
2024-01-21,P016,Product_16,317,97,25,23061.75,USA
2024-01-21,P017,Product_17,154,39,15,5105.1,USA
2024-01-21,P018,Product_18,570,47,20,21432.0,USA
2024-01-21,P019,Product_19,109,11,0,1199.0,USA
2024-01-21,P020,Product_20,475,73,10,31207.5,USA
2024-01-21,P021,Product_21,519,69,15,30439.35,USA
2024-01-21,P022,Product_22,56,30,0,1680.0,USA
2024-01-21,P023,Product_23,485,42,0,20370.0,USA
2024-01-21,P024,Product_24,131,85,30,7794.5,USA
2024-01-21,P025,Product_25,180,67,10,10854.0,USA
2024-01-21,P026,Product_26,341,31,0,10571.0,USA
2024-01-21,P027,Product_27,456,98,30,31281.6,USA
2024-01-21,P028,Product_28,305,58,30,12383.0,USA
2024-01-21,P029,Product_29,523,100,10,47070.0,USA
2024-01-21,P030,Product_30,332,68,25,16932.0,USA
2024-01-21,P031,Product_31,102,51,0,5202.0,USA
2024-01-21,P032,Product_32,233,69,0,16077.0,USA
2024-01-21,P033,Product_33,305,89,20,21716.0,USA
2024-01-21,P034,Product_34,616,24,25,11088.0,USA
2024-01-21,P035,Product_35,397,71,25,21140.25,USA
2024-01-21,P036,Product_36,453,71,5,30554.85,USA
2024-01-21,P037,Product_37,439,56,25,18438.0,USA
2024-01-21,P038,Product_38,398,71,25,21193.5,USA
2024-01-21,P039,Product_39,335,60,30,14070.0,USA
2024-01-21,P040,Product_40,366,64,20,18739.2,USA
2024-01-21,P041,Product_41,284,73,15,17622.2,USA
2024-01-21,P042,Product_42,400,12,10,4320.0,USA
2024-01-21,P043,Product_43,289,60,0,17340.0,USA
2024-01-21,P044,Product_44,326,16,30,3651.2,USA
2024-01-21,P045,Product_45,363,30,30,7623.0,USA
2024-01-21,P046,Product_46,428,82,0,35096.0,USA
2024-01-21,P047,Product_47,460,48,0,22080.0,USA
2024-01-21,P048,Product_48,115,27,5,2949.75,USA
2024-01-21,P049,Product_49,373,13,5,4606.55,USA
2024-01-21,P050,Product_50,584,98,30,40062.4,USA
2024-01-28,P001,Product_1,415,61,0,25315.0,USA
2024-01-28,P002,Product_2,71,24,0,1704.0,USA
2024-01-28,P003,Product_3,339,81,5,26086.05,USA
